,title,description,publishedAt,channelId,playlistId
0,US-China trade war,,2019-05-23T13:35:09Z,UC83jt4dlz1Gjl58fzQrrKZg,PLbnMTcZEga8SV6QprM8MksAcmXVPkQvgk
1,US China Trade War,,2018-12-08T05:03:13Z,UC4SUWizzKc1tptprBkWjX2Q,PLU53TFeKvG2cfTuAqwz3U86SYEbANBY-y
2,US China Trade War,,2019-05-29T06:14:38Z,UC_Lnb8ZHqqgLbp-7hltuT9w,PLkMf14VQEvTasVfukGxh5WnZ2Zn-E-VJM
